"year","value","state","item","units","base"
1961,1.7537,"HI","Total Personal Income","Billion Dollars","Nominal"
1962,1.88105,"HI","Total Personal Income","Billion Dollars","Nominal"
1963,2.01105,"HI","Total Personal Income","Billion Dollars","Nominal"
1964,2.187725,"HI","Total Personal Income","Billion Dollars","Nominal"
1965,2.402275,"HI","Total Personal Income","Billion Dollars","Nominal"
1966,2.60835,"HI","Total Personal Income","Billion Dollars","Nominal"
1967,2.83065,"HI","Total Personal Income","Billion Dollars","Nominal"
1968,3.18375,"HI","Total Personal Income","Billion Dollars","Nominal"
1969,3.643175,"HI","Total Personal Income","Billion Dollars","Nominal"
1970,4.224925,"HI","Total Personal Income","Billion Dollars","Nominal"
1971,4.5841,"HI","Total Personal Income","Billion Dollars","Nominal"
1972,5.047825,"HI","Total Personal Income","Billion Dollars","Nominal"
1973,5.592625,"HI","Total Personal Income","Billion Dollars","Nominal"
1974,6.360675,"HI","Total Personal Income","Billion Dollars","Nominal"
1975,6.919,"HI","Total Personal Income","Billion Dollars","Nominal"
1976,7.465925,"HI","Total Personal Income","Billion Dollars","Nominal"
1977,8.08405,"HI","Total Personal Income","Billion Dollars","Nominal"
1978,8.953925,"HI","Total Personal Income","Billion Dollars","Nominal"
1979,10.043625,"HI","Total Personal Income","Billion Dollars","Nominal"
1980,11.48825,"HI","Total Personal Income","Billion Dollars","Nominal"
1981,12.42825,"HI","Total Personal Income","Billion Dollars","Nominal"
1982,13.16015,"HI","Total Personal Income","Billion Dollars","Nominal"
1983,14.4468,"HI","Total Personal Income","Billion Dollars","Nominal"
1984,15.457725,"HI","Total Personal Income","Billion Dollars","Nominal"
1985,16.44645,"HI","Total Personal Income","Billion Dollars","Nominal"
1986,17.452175,"HI","Total Personal Income","Billion Dollars","Nominal"
1987,18.56075,"HI","Total Personal Income","Billion Dollars","Nominal"
1988,20.4648,"HI","Total Personal Income","Billion Dollars","Nominal"
1989,22.855525,"HI","Total Personal Income","Billion Dollars","Nominal"
1990,24.977075,"HI","Total Personal Income","Billion Dollars","Nominal"
1991,26.45455,"HI","Total Personal Income","Billion Dollars","Nominal"
1992,28.421075,"HI","Total Personal Income","Billion Dollars","Nominal"
1993,29.4555,"HI","Total Personal Income","Billion Dollars","Nominal"
1994,30.134925,"HI","Total Personal Income","Billion Dollars","Nominal"
1995,30.825975,"HI","Total Personal Income","Billion Dollars","Nominal"
1996,30.8405,"HI","Total Personal Income","Billion Dollars","Nominal"
1997,31.7358,"HI","Total Personal Income","Billion Dollars","Nominal"
1998,32.355675,"HI","Total Personal Income","Billion Dollars","Nominal"
1999,33.42555,"HI","Total Personal Income","Billion Dollars","Nominal"
2000,35.40305,"HI","Total Personal Income","Billion Dollars","Nominal"
2001,36.99675,"HI","Total Personal Income","Billion Dollars","Nominal"
2002,38.86555,"HI","Total Personal Income","Billion Dollars","Nominal"
2003,40.734225,"HI","Total Personal Income","Billion Dollars","Nominal"
2004,43.7292,"HI","Total Personal Income","Billion Dollars","Nominal"
2005,46.89805,"HI","Total Personal Income","Billion Dollars","Nominal"
2006,50.182625,"HI","Total Personal Income","Billion Dollars","Nominal"
2007,53.022475,"HI","Total Personal Income","Billion Dollars","Nominal"
2008,55.8026,"HI","Total Personal Income","Billion Dollars","Nominal"
2009,55.408925,"HI","Total Personal Income","Billion Dollars","Nominal"
2010,56.649425,"HI","Total Personal Income","Billion Dollars","Nominal"
2011,59.226425,"HI","Total Personal Income","Billion Dollars","Nominal"
2012,61.161575,"HI","Total Personal Income","Billion Dollars","Nominal"
2013,61.98345,"HI","Total Personal Income","Billion Dollars","Nominal"
2014,65.18215,"HI","Total Personal Income","Billion Dollars","Nominal"
2015,68.200775,"HI","Total Personal Income","Billion Dollars","Nominal"
2016,70.7448,"HI","Total Personal Income","Billion Dollars","Nominal"
2017,73.6464,"HI","Total Personal Income","Billion Dollars","Nominal"
2018,75.266425,"HI","Total Personal Income","Billion Dollars","Nominal"
2019,78.586975,"HI","Total Personal Income","Billion Dollars","Nominal"
2020,82.71415,"HI","Total Personal Income","Billion Dollars","Nominal"
2021,88.342375,"HI","Total Personal Income","Billion Dollars","Nominal"
2022,90.053875,"HI","Total Personal Income","Billion Dollars","Nominal"
2023,94.97075,"HI","Total Personal Income","Billion Dollars","Nominal"
2024,99.1284,"HI","Total Personal Income","Billion Dollars","Nominal"
1948,0.745025,"ID","Total Personal Income","Billion Dollars","Nominal"
1949,0.739175,"ID","Total Personal Income","Billion Dollars","Nominal"
1950,0.79755,"ID","Total Personal Income","Billion Dollars","Nominal"
1951,0.902275,"ID","Total Personal Income","Billion Dollars","Nominal"
1952,0.993675,"ID","Total Personal Income","Billion Dollars","Nominal"
1953,0.950925,"ID","Total Personal Income","Billion Dollars","Nominal"
1954,0.96745,"ID","Total Personal Income","Billion Dollars","Nominal"
1955,1.020275,"ID","Total Personal Income","Billion Dollars","Nominal"
1956,1.1255,"ID","Total Personal Income","Billion Dollars","Nominal"
1957,1.192475,"ID","Total Personal Income","Billion Dollars","Nominal"
1958,1.2158,"ID","Total Personal Income","Billion Dollars","Nominal"
1959,1.286925,"ID","Total Personal Income","Billion Dollars","Nominal"
1960,1.316075,"ID","Total Personal Income","Billion Dollars","Nominal"
1961,1.391925,"ID","Total Personal Income","Billion Dollars","Nominal"
1962,1.48795,"ID","Total Personal Income","Billion Dollars","Nominal"
1963,1.523,"ID","Total Personal Income","Billion Dollars","Nominal"
1964,1.574825,"ID","Total Personal Income","Billion Dollars","Nominal"
1965,1.79375,"ID","Total Personal Income","Billion Dollars","Nominal"
1966,1.817275,"ID","Total Personal Income","Billion Dollars","Nominal"
1967,1.931875,"ID","Total Personal Income","Billion Dollars","Nominal"
1968,2.065075,"ID","Total Personal Income","Billion Dollars","Nominal"
1969,2.391025,"ID","Total Personal Income","Billion Dollars","Nominal"
1970,2.647675,"ID","Total Personal Income","Billion Dollars","Nominal"
1971,2.89415,"ID","Total Personal Income","Billion Dollars","Nominal"
1972,3.304325,"ID","Total Personal Income","Billion Dollars","Nominal"
1973,3.8205,"ID","Total Personal Income","Billion Dollars","Nominal"
1974,4.497375,"ID","Total Personal Income","Billion Dollars","Nominal"
1975,4.8667,"ID","Total Personal Income","Billion Dollars","Nominal"
1976,5.436275,"ID","Total Personal Income","Billion Dollars","Nominal"
1977,5.94235,"ID","Total Personal Income","Billion Dollars","Nominal"
1978,6.829925,"ID","Total Personal Income","Billion Dollars","Nominal"
1979,7.467475,"ID","Total Personal Income","Billion Dollars","Nominal"
1980,8.395925,"ID","Total Personal Income","Billion Dollars","Nominal"
1981,9.233925,"ID","Total Personal Income","Billion Dollars","Nominal"
1982,9.69415,"ID","Total Personal Income","Billion Dollars","Nominal"
1983,10.59965,"ID","Total Personal Income","Billion Dollars","Nominal"
1984,11.280375,"ID","Total Personal Income","Billion Dollars","Nominal"
1985,11.923425,"ID","Total Personal Income","Billion Dollars","Nominal"
1986,12.16565,"ID","Total Personal Income","Billion Dollars","Nominal"
1987,12.674425,"ID","Total Personal Income","Billion Dollars","Nominal"
1988,13.747975,"ID","Total Personal Income","Billion Dollars","Nominal"
1989,15.1245,"ID","Total Personal Income","Billion Dollars","Nominal"
1990,16.34325,"ID","Total Personal Income","Billion Dollars","Nominal"
1991,17.199175,"ID","Total Personal Income","Billion Dollars","Nominal"
1992,18.88185,"ID","Total Personal Income","Billion Dollars","Nominal"
1993,20.68955,"ID","Total Personal Income","Billion Dollars","Nominal"
1994,22.134225,"ID","Total Personal Income","Billion Dollars","Nominal"
1995,23.7886,"ID","Total Personal Income","Billion Dollars","Nominal"
1996,25.263825,"ID","Total Personal Income","Billion Dollars","Nominal"
1997,26.370025,"ID","Total Personal Income","Billion Dollars","Nominal"
1998,28.4981,"ID","Total Personal Income","Billion Dollars","Nominal"
1999,30.1801,"ID","Total Personal Income","Billion Dollars","Nominal"
2000,32.667025,"ID","Total Personal Income","Billion Dollars","Nominal"
2001,34.059375,"ID","Total Personal Income","Billion Dollars","Nominal"
2002,35.213875,"ID","Total Personal Income","Billion Dollars","Nominal"
2003,36.454925,"ID","Total Personal Income","Billion Dollars","Nominal"
2004,39.386675,"ID","Total Personal Income","Billion Dollars","Nominal"
2005,41.724675,"ID","Total Personal Income","Billion Dollars","Nominal"
2006,45.8877,"ID","Total Personal Income","Billion Dollars","Nominal"
2007,48.853525,"ID","Total Personal Income","Billion Dollars","Nominal"
2008,50.15735,"ID","Total Personal Income","Billion Dollars","Nominal"
2009,48.4988,"ID","Total Personal Income","Billion Dollars","Nominal"
2010,50.2019,"ID","Total Personal Income","Billion Dollars","Nominal"
2011,53.076525,"ID","Total Personal Income","Billion Dollars","Nominal"
2012,55.719825,"ID","Total Personal Income","Billion Dollars","Nominal"
2013,57.790625,"ID","Total Personal Income","Billion Dollars","Nominal"
2014,60.897,"ID","Total Personal Income","Billion Dollars","Nominal"
2015,64.5643,"ID","Total Personal Income","Billion Dollars","Nominal"
2016,67.294075,"ID","Total Personal Income","Billion Dollars","Nominal"
2017,71.4726,"ID","Total Personal Income","Billion Dollars","Nominal"
2018,76.52955,"ID","Total Personal Income","Billion Dollars","Nominal"
2019,82.967675,"ID","Total Personal Income","Billion Dollars","Nominal"
2020,91.743225,"ID","Total Personal Income","Billion Dollars","Nominal"
2021,105.544475,"ID","Total Personal Income","Billion Dollars","Nominal"
2022,110.794425,"ID","Total Personal Income","Billion Dollars","Nominal"
2023,116.675325,"ID","Total Personal Income","Billion Dollars","Nominal"
2024,122.09415,"ID","Total Personal Income","Billion Dollars","Nominal"
1948,15.540325,"IL","Total Personal Income","Billion Dollars","Nominal"
1949,14.654575,"IL","Total Personal Income","Billion Dollars","Nominal"
1950,16.097,"IL","Total Personal Income","Billion Dollars","Nominal"
1951,17.9386,"IL","Total Personal Income","Billion Dollars","Nominal"
1952,18.85965,"IL","Total Personal Income","Billion Dollars","Nominal"
1953,20.149725,"IL","Total Personal Income","Billion Dollars","Nominal"
1954,20.29295,"IL","Total Personal Income","Billion Dollars","Nominal"
1955,21.584775,"IL","Total Personal Income","Billion Dollars","Nominal"
1956,23.56405,"IL","Total Personal Income","Billion Dollars","Nominal"
1957,24.576025,"IL","Total Personal Income","Billion Dollars","Nominal"
1958,24.822675,"IL","Total Personal Income","Billion Dollars","Nominal"
1959,26.350275,"IL","Total Personal Income","Billion Dollars","Nominal"
1960,27.209575,"IL","Total Personal Income","Billion Dollars","Nominal"
1961,28.282075,"IL","Total Personal Income","Billion Dollars","Nominal"
1962,29.885175,"IL","Total Personal Income","Billion Dollars","Nominal"
1963,31.095625,"IL","Total Personal Income","Billion Dollars","Nominal"
1964,33.2412,"IL","Total Personal Income","Billion Dollars","Nominal"
1965,36.06815,"IL","Total Personal Income","Billion Dollars","Nominal"
1966,39.09855,"IL","Total Personal Income","Billion Dollars","Nominal"
1967,41.6061,"IL","Total Personal Income","Billion Dollars","Nominal"
1968,44.581775,"IL","Total Personal Income","Billion Dollars","Nominal"
1969,48.484525,"IL","Total Personal Income","Billion Dollars","Nominal"
1970,51.524275,"IL","Total Personal Income","Billion Dollars","Nominal"
1971,55.317375,"IL","Total Personal Income","Billion Dollars","Nominal"
1972,60.02995,"IL","Total Personal Income","Billion Dollars","Nominal"
1973,66.967675,"IL","Total Personal Income","Billion Dollars","Nominal"
1974,73.21635,"IL","Total Personal Income","Billion Dollars","Nominal"
1975,79.86625,"IL","Total Personal Income","Billion Dollars","Nominal"
1976,86.832275,"IL","Total Personal Income","Billion Dollars","Nominal"
1977,95.459675,"IL","Total Personal Income","Billion Dollars","Nominal"
1978,105.341675,"IL","Total Personal Income","Billion Dollars","Nominal"
1979,115.5741,"IL","Total Personal Income","Billion Dollars","Nominal"
1980,125.258225,"IL","Total Personal Income","Billion Dollars","Nominal"
1981,138.77055,"IL","Total Personal Income","Billion Dollars","Nominal"
1982,146.908425,"IL","Total Personal Income","Billion Dollars","Nominal"
1983,153.072725,"IL","Total Personal Income","Billion Dollars","Nominal"
1984,168.50275,"IL","Total Personal Income","Billion Dollars","Nominal"
1985,177.116975,"IL","Total Personal Income","Billion Dollars","Nominal"
1986,186.323025,"IL","Total Personal Income","Billion Dollars","Nominal"
1987,196.407525,"IL","Total Personal Income","Billion Dollars","Nominal"
1988,212.484825,"IL","Total Personal Income","Billion Dollars","Nominal"
1989,226.6999,"IL","Total Personal Income","Billion Dollars","Nominal"
1990,240.79165,"IL","Total Personal Income","Billion Dollars","Nominal"
1991,246.145675,"IL","Total Personal Income","Billion Dollars","Nominal"
1992,265.61995,"IL","Total Personal Income","Billion Dollars","Nominal"
1993,275.147875,"IL","Total Personal Income","Billion Dollars","Nominal"
1994,289.7978,"IL","Total Personal Income","Billion Dollars","Nominal"
1995,307.4418,"IL","Total Personal Income","Billion Dollars","Nominal"
1996,326.997925,"IL","Total Personal Income","Billion Dollars","Nominal"
1997,345.58215,"IL","Total Personal Income","Billion Dollars","Nominal"
1998,366.594075,"IL","Total Personal Income","Billion Dollars","Nominal"
1999,382.60525,"IL","Total Personal Income","Billion Dollars","Nominal"
2000,411.22085,"IL","Total Personal Income","Billion Dollars","Nominal"
2001,427.182375,"IL","Total Personal Income","Billion Dollars","Nominal"
2002,432.381675,"IL","Total Personal Income","Billion Dollars","Nominal"
2003,440.4801,"IL","Total Personal Income","Billion Dollars","Nominal"
2004,457.834275,"IL","Total Personal Income","Billion Dollars","Nominal"
2005,475.64625,"IL","Total Personal Income","Billion Dollars","Nominal"
2006,506.02165,"IL","Total Personal Income","Billion Dollars","Nominal"
2007,535.102575,"IL","Total Personal Income","Billion Dollars","Nominal"
2008,551.159725,"IL","Total Personal Income","Billion Dollars","Nominal"
2009,525.79395,"IL","Total Personal Income","Billion Dollars","Nominal"
2010,540.8809,"IL","Total Personal Income","Billion Dollars","Nominal"
2011,568.23035,"IL","Total Personal Income","Billion Dollars","Nominal"
2012,593.8142,"IL","Total Personal Income","Billion Dollars","Nominal"
2013,605.68155,"IL","Total Personal Income","Billion Dollars","Nominal"
2014,629.464975,"IL","Total Personal Income","Billion Dollars","Nominal"
2015,657.080225,"IL","Total Personal Income","Billion Dollars","Nominal"
2016,664.6868,"IL","Total Personal Income","Billion Dollars","Nominal"
2017,685.632725,"IL","Total Personal Income","Billion Dollars","Nominal"
2018,722.6866,"IL","Total Personal Income","Billion Dollars","Nominal"
2019,741.90475,"IL","Total Personal Income","Billion Dollars","Nominal"
2020,787.687575,"IL","Total Personal Income","Billion Dollars","Nominal"
2021,846.013,"IL","Total Personal Income","Billion Dollars","Nominal"
2022,862.729025,"IL","Total Personal Income","Billion Dollars","Nominal"
2023,906.647575,"IL","Total Personal Income","Billion Dollars","Nominal"
2024,938.9739,"IL","Total Personal Income","Billion Dollars","Nominal"
1948,5.615725,"IN","Total Personal Income","Billion Dollars","Nominal"
1949,5.372175,"IN","Total Personal Income","Billion Dollars","Nominal"
1950,6.04935,"IN","Total Personal Income","Billion Dollars","Nominal"
1951,7.04275,"IN","Total Personal Income","Billion Dollars","Nominal"
1952,7.40905,"IN","Total Personal Income","Billion Dollars","Nominal"
1953,8.162875,"IN","Total Personal Income","Billion Dollars","Nominal"
1954,7.716825,"IN","Total Personal Income","Billion Dollars","Nominal"
1955,8.323775,"IN","Total Personal Income","Billion Dollars","Nominal"
1956,8.96515,"IN","Total Personal Income","Billion Dollars","Nominal"
1957,9.2656,"IN","Total Personal Income","Billion Dollars","Nominal"
1958,9.272125,"IN","Total Personal Income","Billion Dollars","Nominal"
1959,9.874575,"IN","Total Personal Income","Billion Dollars","Nominal"
1960,10.3903,"IN","Total Personal Income","Billion Dollars","Nominal"
1961,10.707075,"IN","Total Personal Income","Billion Dollars","Nominal"
1962,11.464225,"IN","Total Personal Income","Billion Dollars","Nominal"
1963,12.042775,"IN","Total Personal Income","Billion Dollars","Nominal"
1964,12.8169,"IN","Total Personal Income","Billion Dollars","Nominal"
1965,14.162125,"IN","Total Personal Income","Billion Dollars","Nominal"
1966,15.2876,"IN","Total Personal Income","Billion Dollars","Nominal"
1967,16.0172,"IN","Total Personal Income","Billion Dollars","Nominal"
1968,17.41245,"IN","Total Personal Income","Billion Dollars","Nominal"
1969,19.238325,"IN","Total Personal Income","Billion Dollars","Nominal"
1970,20.028725,"IN","Total Personal Income","Billion Dollars","Nominal"
1971,21.79375,"IN","Total Personal Income","Billion Dollars","Nominal"
1972,23.846525,"IN","Total Personal Income","Billion Dollars","Nominal"
1973,27.3684,"IN","Total Personal Income","Billion Dollars","Nominal"
1974,29.274325,"IN","Total Personal Income","Billion Dollars","Nominal"
1975,31.60755,"IN","Total Personal Income","Billion Dollars","Nominal"
1976,35.13155,"IN","Total Personal Income","Billion Dollars","Nominal"
1977,38.900925,"IN","Total Personal Income","Billion Dollars","Nominal"
1978,43.39845,"IN","Total Personal Income","Billion Dollars","Nominal"
1979,47.80425,"IN","Total Personal Income","Billion Dollars","Nominal"
1980,51.4346,"IN","Total Personal Income","Billion Dollars","Nominal"
1981,56.38505,"IN","Total Personal Income","Billion Dollars","Nominal"
1982,58.405975,"IN","Total Personal Income","Billion Dollars","Nominal"
1983,61.292825,"IN","Total Personal Income","Billion Dollars","Nominal"
1984,67.944425,"IN","Total Personal Income","Billion Dollars","Nominal"
1985,71.78175,"IN","Total Personal Income","Billion Dollars","Nominal"
1986,75.602925,"IN","Total Personal Income","Billion Dollars","Nominal"
1987,79.9941,"IN","Total Personal Income","Billion Dollars","Nominal"
1988,85.855225,"IN","Total Personal Income","Billion Dollars","Nominal"
1989,93.483725,"IN","Total Personal Income","Billion Dollars","Nominal"
1990,98.724625,"IN","Total Personal Income","Billion Dollars","Nominal"
1991,101.8448,"IN","Total Personal Income","Billion Dollars","Nominal"
1992,110.062475,"IN","Total Personal Income","Billion Dollars","Nominal"
1993,115.996325,"IN","Total Personal Income","Billion Dollars","Nominal"
1994,123.234325,"IN","Total Personal Income","Billion Dollars","Nominal"
1995,128.8167,"IN","Total Personal Income","Billion Dollars","Nominal"
1996,136.0909,"IN","Total Personal Income","Billion Dollars","Nominal"
1997,143.32005,"IN","Total Personal Income","Billion Dollars","Nominal"
1998,154.52185,"IN","Total Personal Income","Billion Dollars","Nominal"
1999,160.465775,"IN","Total Personal Income","Billion Dollars","Nominal"
2000,171.03205,"IN","Total Personal Income","Billion Dollars","Nominal"
2001,175.22975,"IN","Total Personal Income","Billion Dollars","Nominal"
2002,177.918825,"IN","Total Personal Income","Billion Dollars","Nominal"
2003,182.45795,"IN","Total Personal Income","Billion Dollars","Nominal"
2004,191.088325,"IN","Total Personal Income","Billion Dollars","Nominal"
2005,196.999025,"IN","Total Personal Income","Billion Dollars","Nominal"
2006,208.3737,"IN","Total Personal Income","Billion Dollars","Nominal"
2007,215.919875,"IN","Total Personal Income","Billion Dollars","Nominal"
2008,226.602275,"IN","Total Personal Income","Billion Dollars","Nominal"
2009,220.90865,"IN","Total Personal Income","Billion Dollars","Nominal"
2010,231.02555,"IN","Total Personal Income","Billion Dollars","Nominal"
2011,245.731175,"IN","Total Personal Income","Billion Dollars","Nominal"
2012,256.284675,"IN","Total Personal Income","Billion Dollars","Nominal"
2013,259.534775,"IN","Total Personal Income","Billion Dollars","Nominal"
2014,269.1591,"IN","Total Personal Income","Billion Dollars","Nominal"
2015,279.385725,"IN","Total Personal Income","Billion Dollars","Nominal"
2016,287.27515,"IN","Total Personal Income","Billion Dollars","Nominal"
2017,297.990475,"IN","Total Personal Income","Billion Dollars","Nominal"
2018,313.1272,"IN","Total Personal Income","Billion Dollars","Nominal"
2019,326.3914,"IN","Total Personal Income","Billion Dollars","Nominal"
2020,351.310775,"IN","Total Personal Income","Billion Dollars","Nominal"
2021,390.236975,"IN","Total Personal Income","Billion Dollars","Nominal"
2022,402.919475,"IN","Total Personal Income","Billion Dollars","Nominal"
2023,420.2597,"IN","Total Personal Income","Billion Dollars","Nominal"
2024,441.53575,"IN","Total Personal Income","Billion Dollars","Nominal"
1948,4.122725,"IA","Total Personal Income","Billion Dollars","Nominal"
1949,3.510725,"IA","Total Personal Income","Billion Dollars","Nominal"
1950,4.039075,"IA","Total Personal Income","Billion Dollars","Nominal"
1951,4.31135,"IA","Total Personal Income","Billion Dollars","Nominal"
1952,4.5762,"IA","Total Personal Income","Billion Dollars","Nominal"
1953,4.4063,"IA","Total Personal Income","Billion Dollars","Nominal"
1954,4.76555,"IA","Total Personal Income","Billion Dollars","Nominal"
1955,4.54245,"IA","Total Personal Income","Billion Dollars","Nominal"
1956,4.821025,"IA","Total Personal Income","Billion Dollars","Nominal"
1957,5.3476,"IA","Total Personal Income","Billion Dollars","Nominal"
1958,5.46335,"IA","Total Personal Income","Billion Dollars","Nominal"
1959,5.602325,"IA","Total Personal Income","Billion Dollars","Nominal"
1960,5.74515,"IA","Total Personal Income","Billion Dollars","Nominal"
1961,6.083825,"IA","Total Personal Income","Billion Dollars","Nominal"
1962,6.34445,"IA","Total Personal Income","Billion Dollars","Nominal"
1963,6.744225,"IA","Total Personal Income","Billion Dollars","Nominal"
1964,7.059375,"IA","Total Personal Income","Billion Dollars","Nominal"
1965,7.8184,"IA","Total Personal Income","Billion Dollars","Nominal"
1966,8.5131,"IA","Total Personal Income","Billion Dollars","Nominal"
1967,8.67155,"IA","Total Personal Income","Billion Dollars","Nominal"
1968,9.3471,"IA","Total Personal Income","Billion Dollars","Nominal"
1969,10.37405,"IA","Total Personal Income","Billion Dollars","Nominal"
1970,11.09495,"IA","Total Personal Income","Billion Dollars","Nominal"
1971,11.641625,"IA","Total Personal Income","Billion Dollars","Nominal"
1972,13.040175,"IA","Total Personal Income","Billion Dollars","Nominal"
1973,15.654775,"IA","Total Personal Income","Billion Dollars","Nominal"
1974,16.225,"IA","Total Personal Income","Billion Dollars","Nominal"
1975,18.1337,"IA","Total Personal Income","Billion Dollars","Nominal"
1976,19.28025,"IA","Total Personal Income","Billion Dollars","Nominal"
1977,21.275275,"IA","Total Personal Income","Billion Dollars","Nominal"
1978,24.537225,"IA","Total Personal Income","Billion Dollars","Nominal"
1979,26.300025,"IA","Total Personal Income","Billion Dollars","Nominal"
1980,28.0101,"IA","Total Personal Income","Billion Dollars","Nominal"
1981,31.683525,"IA","Total Personal Income","Billion Dollars","Nominal"
1982,32.544975,"IA","Total Personal Income","Billion Dollars","Nominal"
1983,33.176075,"IA","Total Personal Income","Billion Dollars","Nominal"
1984,36.915925,"IA","Total Personal Income","Billion Dollars","Nominal"
1985,38.21255,"IA","Total Personal Income","Billion Dollars","Nominal"
1986,39.47445,"IA","Total Personal Income","Billion Dollars","Nominal"
1987,41.2251,"IA","Total Personal Income","Billion Dollars","Nominal"
1988,42.726725,"IA","Total Personal Income","Billion Dollars","Nominal"
1989,46.504225,"IA","Total Personal Income","Billion Dollars","Nominal"
1990,49.0202,"IA","Total Personal Income","Billion Dollars","Nominal"
1991,50.210875,"IA","Total Personal Income","Billion Dollars","Nominal"
1992,53.763225,"IA","Total Personal Income","Billion Dollars","Nominal"
1993,54.00565,"IA","Total Personal Income","Billion Dollars","Nominal"
1994,58.8889,"IA","Total Personal Income","Billion Dollars","Nominal"
1995,61.256425,"IA","Total Personal Income","Billion Dollars","Nominal"
1996,66.724725,"IA","Total Personal Income","Billion Dollars","Nominal"
1997,69.90825,"IA","Total Personal Income","Billion Dollars","Nominal"
1998,73.147525,"IA","Total Personal Income","Billion Dollars","Nominal"
1999,74.9987,"IA","Total Personal Income","Billion Dollars","Nominal"
2000,80.082625,"IA","Total Personal Income","Billion Dollars","Nominal"
2001,82.51975,"IA","Total Personal Income","Billion Dollars","Nominal"
2002,84.518175,"IA","Total Personal Income","Billion Dollars","Nominal"
2003,86.3306,"IA","Total Personal Income","Billion Dollars","Nominal"
2004,93.3779,"IA","Total Personal Income","Billion Dollars","Nominal"
2005,96.079975,"IA","Total Personal Income","Billion Dollars","Nominal"
2006,101.998575,"IA","Total Personal Income","Billion Dollars","Nominal"
2007,109.06905,"IA","Total Personal Income","Billion Dollars","Nominal"
2008,116.1128,"IA","Total Personal Income","Billion Dollars","Nominal"
2009,112.96345,"IA","Total Personal Income","Billion Dollars","Nominal"
2010,116.5357,"IA","Total Personal Income","Billion Dollars","Nominal"
2011,125.4998,"IA","Total Personal Income","Billion Dollars","Nominal"
2012,131.13695,"IA","Total Personal Income","Billion Dollars","Nominal"
2013,133.435125,"IA","Total Personal Income","Billion Dollars","Nominal"
2014,137.733475,"IA","Total Personal Income","Billion Dollars","Nominal"
2015,142.521125,"IA","Total Personal Income","Billion Dollars","Nominal"
2016,143.83985,"IA","Total Personal Income","Billion Dollars","Nominal"
2017,147.91145,"IA","Total Personal Income","Billion Dollars","Nominal"
2018,154.686025,"IA","Total Personal Income","Billion Dollars","Nominal"
2019,158.156275,"IA","Total Personal Income","Billion Dollars","Nominal"
2020,167.9202,"IA","Total Personal Income","Billion Dollars","Nominal"
2021,186.1418,"IA","Total Personal Income","Billion Dollars","Nominal"
2022,197.02125,"IA","Total Personal Income","Billion Dollars","Nominal"
2023,201.332825,"IA","Total Personal Income","Billion Dollars","Nominal"
2024,205.61065,"IA","Total Personal Income","Billion Dollars","Nominal"
1948,2.55465,"KS","Total Personal Income","Billion Dollars","Nominal"
1949,2.53015,"KS","Total Personal Income","Billion Dollars","Nominal"
1950,2.838325,"KS","Total Personal Income","Billion Dollars","Nominal"
1951,3.162375,"KS","Total Personal Income","Billion Dollars","Nominal"
1952,3.684625,"KS","Total Personal Income","Billion Dollars","Nominal"
1953,3.547625,"KS","Total Personal Income","Billion Dollars","Nominal"
1954,3.755225,"KS","Total Personal Income","Billion Dollars","Nominal"
1955,3.768375,"KS","Total Personal Income","Billion Dollars","Nominal"
1956,3.964225,"KS","Total Personal Income","Billion Dollars","Nominal"
1957,4.18465,"KS","Total Personal Income","Billion Dollars","Nominal"
1958,4.59335,"KS","Total Personal Income","Billion Dollars","Nominal"
1959,4.642225,"KS","Total Personal Income","Billion Dollars","Nominal"
1960,4.82705,"KS","Total Personal Income","Billion Dollars","Nominal"
1961,5.039375,"KS","Total Personal Income","Billion Dollars","Nominal"
1962,5.243975,"KS","Total Personal Income","Billion Dollars","Nominal"
1963,5.364425,"KS","Total Personal Income","Billion Dollars","Nominal"
1964,5.6497,"KS","Total Personal Income","Billion Dollars","Nominal"
1965,6.02395,"KS","Total Personal Income","Billion Dollars","Nominal"
1966,6.45235,"KS","Total Personal Income","Billion Dollars","Nominal"
1967,6.755725,"KS","Total Personal Income","Billion Dollars","Nominal"
1968,7.3603,"KS","Total Personal Income","Billion Dollars","Nominal"
1969,8.1948,"KS","Total Personal Income","Billion Dollars","Nominal"
1970,8.892675,"KS","Total Personal Income","Billion Dollars","Nominal"
1971,9.654225,"KS","Total Personal Income","Billion Dollars","Nominal"
1972,10.763325,"KS","Total Personal Income","Billion Dollars","Nominal"
1973,12.26635,"KS","Total Personal Income","Billion Dollars","Nominal"
1974,13.261975,"KS","Total Personal Income","Billion Dollars","Nominal"
1975,14.487525,"KS","Total Personal Income","Billion Dollars","Nominal"
1976,15.746175,"KS","Total Personal Income","Billion Dollars","Nominal"
1977,17.182125,"KS","Total Personal Income","Billion Dollars","Nominal"
1978,19.0143,"KS","Total Personal Income","Billion Dollars","Nominal"
1979,21.7156,"KS","Total Personal Income","Billion Dollars","Nominal"
1980,23.879575,"KS","Total Personal Income","Billion Dollars","Nominal"
1981,27.0384,"KS","Total Personal Income","Billion Dollars","Nominal"
1982,29.313475,"KS","Total Personal Income","Billion Dollars","Nominal"
1983,30.554625,"KS","Total Personal Income","Billion Dollars","Nominal"
1984,33.4892,"KS","Total Personal Income","Billion Dollars","Nominal"
1985,35.2474,"KS","Total Personal Income","Billion Dollars","Nominal"
1986,36.949925,"KS","Total Personal Income","Billion Dollars","Nominal"
